id,date,price,floors,zipcode,dormitory_type,condition_type,yr_renovated,yr_built
6762700020,2014-10-13,7700000.0,2.5,98102,house,regular,1987-01-01,1910-01-01
9808700762,2014-06-11,7062500.0,2.0,98004,house,regular,2001-01-01,1940-01-01
9208900037,2014-09-19,6885000.0,2.0,98039,house,regular,,2001-01-01
2470100110,2014-08-04,5570000.0,2.0,98039,house,regular,,2001-01-01
8907500070,2015-04-13,5350000.0,2.0,98004,house,regular,,2009-01-01
7558700030,2015-04-13,5300000.0,2.0,98040,house,regular,,1991-01-01
1247600105,2014-10-20,5110800.0,2.0,98033,house,regular,,1999-01-01
1924059029,2014-06-17,4668000.0,1.0,98040,house,regular,2009-01-01,1983-01-01
7738500731,2014-08-15,4500000.0,2.0,98155,house,regular,,2004-01-01
3835500195,2014-06-18,4489000.0,2.0,98004,house,regular,,2001-01-01
6065300370,2015-05-06,4208000.0,2.0,98006,house,regular,,2003-01-01
6447300265,2014-10-14,4000000.0,2.0,98039,house,regular,,2008-01-01
8106100105,2014-11-14,3850000.0,2.0,98040,house,regular,,1980-01-01
2303900100,2014-09-11,3800000.0,2.0,98177,house,regular,,1997-01-01
853200010,2014-07-01,3800000.0,1.0,98004,house,regular,,1978-01-01
7397300170,2014-05-30,3710000.0,2.0,98039,house,regular,,2000-01-01
4217402115,2015-04-21,3650000.0,1.5,98105,house,good,,1936-01-01
4389201095,2015-05-11,3650000.0,2.0,98004,house,regular,,2007-01-01
2425049063,2014-09-11,3640900.0,2.0,98039,house,regular,,1990-01-01
3625049042,2014-10-11,3635000.0,2.0,98039,house,regular,,2005-01-01
4114601570,2014-11-18,3600000.0,2.0,98144,house,regular,2002-01-01,1941-01-01
9253900271,2015-01-07,3567000.0,2.0,98008,house,regular,,2007-01-01
2525049148,2014-10-07,3418800.0,2.0,98039,house,regular,,2014-01-01
9362000040,2014-06-23,3400000.0,2.0,98040,house,regular,,2005-01-01
1118000320,2015-05-08,3400000.0,2.0,98112,house,regular,2010-01-01,1939-01-01
3126059023,2015-03-03,3395000.0,1.0,98033,house,regular,,1954-01-01
9808100150,2015-04-02,3345000.0,1.0,98004,house,regular,,2008-01-01
3625059152,2014-12-30,3300000.0,1.0,98008,house,regular,1987-01-01,1958-01-01
1346300150,2014-10-20,3300000.0,3.5,98112,house,good,,1904-01-01
3625059043,2014-09-04,3300000.0,2.0,98008,house,regular,,1989-01-01
6072800246,2014-07-02,3300000.0,2.0,98006,house,regular,,2001-01-01
7524900003,2014-12-10,3278000.0,2.5,98008,apartment,regular,,2001-01-01
251500080,2014-08-26,3204000.0,2.0,98004,house,regular,,2007-01-01
1068000375,2014-09-23,3200000.0,2.5,98199,house,regular,2002-01-01,1933-01-01
624069108,2014-08-12,3200000.0,1.0,98075,house,regular,,1991-01-01
8964800890,2015-01-09,3200000.0,1.0,98004,house,regular,,1995-01-01
7159200005,2014-05-07,3200000.0,2.5,98109,house,good,,1910-01-01
3025059124,2014-08-28,3168750.0,1.0,98004,house,regular,,2008-01-01
333100295,2014-11-24,3120000.0,2.0,98034,house,regular,,1993-01-01
2424049029,2014-05-29,3100000.0,3.0,98040,house,regular,,1999-01-01
4131900066,2014-08-25,3100000.0,2.0,98040,house,regular,,1996-01-01
3025059093,2014-07-29,3100000.0,2.0,98004,house,regular,,2006-01-01
3225069065,2014-06-24,3075000.0,1.0,98074,house,regular,,2002-01-01
3760500116,2014-11-20,3070000.0,1.0,98034,house,regular,,1957-01-01
1732800780,2015-02-12,3065000.0,2.5,98119,house,good,,1909-01-01
1118000340,2015-04-08,3000000.0,2.0,98112,house,regular,,1927-01-01
3761100045,2014-06-18,3000000.0,2.0,98034,house,good,,1989-01-01
518500480,2014-08-11,3000000.0,2.0,98056,house,regular,,2014-01-01
8964800330,2015-04-07,3000000.0,1.0,98004,house,regular,,2013-01-01
9808100100,2015-02-02,3000000.0,2.0,98004,house,regular,2008-01-01,1918-01-01
1925059254,2015-05-07,2998000.0,2.0,98004,house,regular,,2007-01-01
3303850390,2014-12-12,2983000.0,2.0,98006,house,regular,,2001-01-01
1370800515,2014-10-30,2950000.0,2.0,98199,house,regular,,2010-01-01
3625049014,2014-08-29,2950000.0,2.0,98039,house,regular,,1996-01-01
2524049166,2014-09-18,2950000.0,1.0,98040,house,regular,,2003-01-01
6613000930,2014-09-02,2950000.0,2.0,98105,house,good,,1923-01-01
1176001310,2015-03-04,2945000.0,3.0,98107,house,regular,,2010-01-01
5317100750,2014-07-11,2920000.0,2.5,98112,house,good,,1926-01-01
